id,package_name,version,depends,predepends,description
32,xserver-common,2:1.15.1-0ubuntu3," x11-common, xkb-data, x11-xkb-utils",,common files used by various X servers
33,gir1.2-goa-1.0,3.10.3-0ubuntu2," gir1.2-glib-2.0, libgoa-1.0-0b (>= 3.7.91)",,Introspection data for GNOME Online Accounts
34,libpanel-applet-4-0,1:3.8.0-1ubuntu12.2," gconf-service, libc6 (>= 2.4), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10.0), libgconf-2-4 (>= 2.31.1), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.8), libx11-6",,library for GNOME Panel applets
35,python-aptdaemon,1.1.1-1ubuntu6," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-apt (>= 0.8.5~ubuntu1), python-debian, python-defer, python-dbus, python-gi, gir1.2-glib-2.0, python-pkg-resources, iso-codes",,Python 2 module for the server and client of aptdaemon
36,gtk2-engines-murrine,0.98.2-0ubuntu3," libc6 (>= 2.4), libcairo2 (>= 1.2.4), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk2.0-0 (>= 2.24.5-4), libpangocairo-1.0-0 (>= 1.14.0), libpixman-1-0 (>= 0.30.0)",,cairo-based gtk+-2.0 theme engine
37,hddtemp,0.3-beta15-53," libc6 (>= 2.15), debconf (>= 0.5) | debconf-2.0, lsb-base (>= 3.0-3)",,hard drive temperature monitoring utility
38,libasprintf0c2,0.18.3.1-1ubuntu4," libc6 (>= 2.14), libstdc++6 (>= 4.1.1)",multiarch-support,GNU library to use fprintf and friends in C++
39,libelf1,0.158-0ubuntu5.2, libc6 (>= 2.14),multiarch-support,library to read and write ELF files
40,memtest86+,4.20-1.1ubuntu9, debconf (>= 0.5) | debconf-2.0,,thorough real-mode memory tester
41,libgjs0e,1.40.1-0ubuntu0.3," libc6 (>= 2.15), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.6.0), libffi6 (>= 3.0.4), libgcc1 (>= 1:4.1.1), libgirepository-1.0-1 (>= 1.33.10), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.0.0), libmozjs-24-0, libreadline6 (>= 6.0), libstdc++6 (>= 4.1.1), gir1.2-gtk-3.0",,Mozilla-based javascript bindings for the GNOME platform
42,dash,0.5.7-4ubuntu2," debianutils (>= 2.15), dpkg (>= 1.15.0)",libc6 (>= 2.14),POSIX-compliant shell
43,libniscsdk,1.0-4+1cdos2," libc6 (>= 2.14), libcurl3-gnutls (>= 7.16.2), libcurl3-nss",,The NISC AuthClient SDK
44,mono-runtime,3.2.8+dfsg-4ubuntu2," libc6 (>= 2.2.5), mono-runtime-sgen (= 3.2.8+dfsg-4ubuntu2)",,Mono runtime - default version
45,libsocket6-perl,0.25-2," perl (>= 5.18.2-2ubuntu1), perlapi-5.18.2, libc6 (>= 2.4)",,Perl extensions for IPv6
46,libprotobuf-lite8,2.5.0-9ubuntu2," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.3)",,protocol buffers C++ library (lite version)
47,libatspi2.0-0,2.10.2.is.2.10.1-0ubuntu2," libc6 (>= 2.7), libdbus-1-3 (>= 1.1.1), libglib2.0-0 (>= 2.37.3), libx11-6",multiarch-support,Assistive Technology Service Provider Interface - shared library
48,libart-2.0-2,2.3.21-3, libc6 (>= 2.14),multiarch-support,Library of functions for 2D graphics - runtime files
49,libgtk-3-common,3.10.8-0ubuntu1+2cdos4.9+1.10.0, dconf-gsettings-backend | gsettings-backend,,common files for the GTK+ graphical user interface library
50,python-six,1.5.2-2," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)",,Python 2 and 3 compatibility library (Python 2 interface)
51,libpam-cap,1:2.24-0ubuntu3," libc6 (>= 2.4), libcap2 (>= 2.10), libpam0g (>= 0.99.7.1), libpam-runtime (>= 1.1.3-2~)",,PAM module for implementing capabilities
52,libpolkit-gobject-1-0,0.105-4ubuntu3," libc6 (>= 2.7), libglib2.0-0 (>= 2.37.3), libsystemd-login0 (>= 31)",multiarch-support,PolicyKit Authorization API
53,libraw1394-11,2.1.0-1ubuntu2, libc6 (>= 2.14),multiarch-support,library for direct access to IEEE 1394 bus (aka FireWire)
54,iproute2,3.12.0-3," libc6 (>= 2.14), libdb5.3",,networking and traffic control tools
55,shared-mime-info,1.2-0ubuntu4," libc6 (>= 2.14), libglib2.0-0 (>= 2.35.9), libxml2 (>= 2.7.4)",,FreeDesktop.org shared MIME database and spec
56,libt1-5,5.1.2-3.6ubuntu2," libc6 (>= 2.14), libx11-6",,Type 1 font rasterizer library - runtime
57,libxdmcp6,1:1.1.1-2, libc6 (>= 2.4),multiarch-support,X11 Display Manager Control Protocol library
58,libjavascriptcoregtk-1.0-0,2.4.3-1ubuntu3," libc6 (>= 2.14), libglib2.0-0 (>= 2.36.0), libicu52 (>= 52~m1-1~), libstdc++6 (>= 4.8.1), zlib1g (>= 1:1.1.4)",multiarch-support,JavaScript engine library from WebKitGTK+
59,libgl1-mesa-dri,10.1.3-0ubuntu0.2," libc6 (>= 2.17), libdrm-intel1 (>= 2.4.48), libdrm-nouveau2 (>= 2.4.38), libdrm-radeon1 (>= 2.4.31), libdrm2 (>= 2.4.38), libelf1 (>= 0.142), libexpat1 (>= 2.0.1), libgcc1 (>= 1:4.1.1), libllvm3.4, libstdc++6 (>= 4.6)",multiarch-support,free implementation of the OpenGL API -- DRI modules
60,gvfs-bin,1.20.1-1ubuntu1+1cdos2.1+1.10.0," libc6 (>= 2.4), libglib2.0-0 (>= 2.37.0), gvfs-common (= 1.20.1-1ubuntu1+1cdos2.1+1.10.0)",,userspace virtual filesystem - binaries
61,fonts-arphic-ukai,0.2.20080216.2-4ubuntu3,,, AR PL UKai  Chinese Unicode TrueType font collection Kaiti style
62,libavahi-ui-gtk3-0,0.6.31-4ubuntu2," libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.22), libavahi-glib1 (>= 0.6.16), libc6 (>= 2.4), libgdbm3 (>= 1.8.3), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.0.0)",multiarch-support,Avahi GTK+ User interface library for GTK3
63,esound-common,0.2.41-12,,,Enlightened Sound Daemon - Common files
64,libatk1.0-dev,2.10.0-2ubuntu3," libatk1.0-0 (= 2.10.0-2ubuntu3), gir1.2-atk-1.0 (= 2.10.0-2ubuntu3), pkg-config, libglib2.0-dev (>= 2.31.2)",,Development files for the ATK accessibility toolkit
65,libevview3-3,3.10.3-0ubuntu10.1+3cdos8+1.10.0," libatk1.0-0 (>= 1.12.4), libc6 (>= 2.2.5), libcairo2 (>= 1.10.0), libevdocument3-4 (>= 3.9.5), libgail-3-0 (>= 3.0.0), libglib2.0-0 (>= 2.37.3), libgrip0 (>= 0.1.0), libgtk-3-0 (>= 3.8.0), libpango-1.0-0 (>= 1.14.0)",,"Document (PostScript, PDF) rendering library - Gtk+ widgets"
66,libnl-3-200,3.2.21-2, libc6 (>= 2.14),multiarch-support,library for dealing with netlink sockets
67,libsane-hpaio,3.14.3-0ubuntu3.3," libc6 (>= 2.14), libcups2 (>= 1.6.0), libdbus-1-3 (>= 1.0.2), libhpmud0",,HP SANE backend for multi-function peripherals
68,xserver-xephyr,2:1.15.1-0ubuntu3," xserver-common (>= 2:1.15.1-0ubuntu3), libaudit1 (>= 1:2.2.1), libc6 (>= 2.17), libgcrypt11 (>= 1.5.1), libgl1-mesa-glx | libgl1, libpixman-1-0 (>= 0.30.0), libselinux1 (>= 2.0.82), libxau6, libxcb-glx0, libxcb-icccm4 (>= 0.4.1), libxcb-image0 (>= 0.3.9), libxcb-keysyms1 (>= 0.3.9), libxcb-shape0, libxcb-shm0, libxcb-util0 (>= 0.3.8), libxcb-xf86dri0, libxcb-xv0 (>= 1.2), libxcb1 (>= 1.6), libxdmcp6, libxfont1 (>= 1:1.4.2)",,nested X server
69,coreutils,8.21-1ubuntu6,,"libacl1 (>= 2.2.51-8), libattr1 (>= 1:2.4.46-8), libc6 (>= 2.17), libselinux1 (>= 1.32)",GNU core utilities
70,libva-glx1,1.3.0-3," libc6 (>= 2.3.4), libgl1-mesa-glx | libgl1, libva-x11-1 (>> 1.3.0~), libva1 (>> 1.3.0~), libx11-6",multiarch-support,Video Acceleration (VA) API for Linux -- GLX runtime
71,mircommon-dev,0.1.8+14.04.20140411-0ubuntu2,,,Display server for Ubuntu - development headers
72,gstreamer1.0-plugins-bad-faad,1.2.4-1~ubuntu2," libc6 (>= 2.14), libfaad2 (>= 2.7), libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base1.0-0 (>= 1.0.0), libgstreamer1.0-0 (>= 1.0.0), gstreamer1.0-plugins-base, libgstreamer-plugins-bad1.0-0 (= 1.2.4-1~ubuntu2)",multiarch-support,GStreamer faad plugin from the  bad  set
73,libmtp-common,1.1.6-20-g1b9f164-1ubuntu3,,,Media Transfer Protocol (MTP) common files
74,libsane,1.0.23-3ubuntu3.2," acl, adduser, libsane-common (= 1.0.23-3ubuntu3.2), udev | makedev, libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.15), libgphoto2-6 (>= 2.5.2), libgphoto2-port10 (>= 2.5.2), libieee1284-3, libjpeg8 (>= 8c), libtiff5 (>= 4.0.3), libusb-1.0-0 (>= 2:1.0.8), libv4l-0 (>= 0.5.0)",multiarch-support,API library for scanners
75,sudo,1.8.9p5-1ubuntu1.1+1cdos2," libc6 (>= 2.15), libpam0g (>= 0.99.7.1), libselinux1 (>= 1.32), zlib1g (>= 1:1.1.4), libpam-modules",,Provide limited super user privileges to specific users
76,python3-aptdaemon.gtk3widgets,1.1.1-1ubuntu6," python3:any (>= 3.3.2-2~), python3-aptdaemon (= 1.1.1-1ubuntu6), python3-gi, gir1.2-gtk-3.0, gir1.2-vte-2.90, aptdaemon-data",,Python 3 GTK+ 3 widgets to run an aptdaemon client
77,libfreetype6,2.5.2-1ubuntu2.3," libc6 (>= 2.14), libpng12-0 (>= 1.2.13-4), zlib1g (>= 1:1.1.4)",multiarch-support,"FreeType 2 font engine, shared library files"
78,debianutils,4.4.1, sensible-utils,libc6 (>= 2.15),Miscellaneous utilities specific to Debian
79,printer-driver-pxljr,1.4+repack0-4," libc6 (>= 2.14), libijs-0.35 (>= 0.35), libjpeg8 (>= 8c), python3, xz-utils, cups-filters (>= 1.0.42) | foomatic-filters (>= 4.0.0~bzr156)",,printer driver for HP Color LaserJet 35xx/36xx
80,remote-login-service,1.0.0-0ubuntu4," libc6 (>= 2.14), libgcrypt11 (>= 1.4.5), libglib2.0-0 (>= 2.37.3), libjson-glib-1.0-0 (>= 0.12.0), libnm-glib4 (>= 0.7.999), libsoup2.4-1 (>= 2.4.0)",,Service to track the remote servers to use
81,xfonts-mathml,6ubuntu2, xfonts-utils,,Type1 Symbol font for MathML
82,fonts-tlwg-typo,1:0.5.1-4,,,Thai TlwgTypo font
83,gnome-video-effects,0.4.1-0ubuntu2, gstreamer1.0-plugins-good,,GNOME Video Effects
84,openprinting-ppds,20140410-0ubuntu2," python3, xz-utils",,OpenPrinting printer support - PostScript PPD files
85,ecryptfs-utils,104-0ubuntu2," libc6 (>= 2.14), libecryptfs0, libkeyutils1, libpam0g (>= 0.99.7.1), gettext-base, keyutils, libnss3-1d, libpam-runtime (>= 1.0.1-6)",,ecryptfs cryptographic filesystem (utilities)
86,gstreamer1.0-plugins-good,1.2.4-1~ubuntu2," libaa1 (>= 1.4p5), libavc1394-0 (>= 0.5.3), libbz2-1.0, libc6 (>= 2.17), libcaca0 (>= 0.99.beta17-1), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10.0), libdv4, libflac8 (>= 1.3.0), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base1.0-0 (>= 1.2.1), libgstreamer-plugins-good1.0-0 (= 1.2.4-1~ubuntu2), libgstreamer1.0-0 (>= 1.2.0), libiec61883-0 (>= 1.2.0), libjack-jackd2-0 (>= 1.9.5~dfsg-14) | libjack-0.116, libjpeg8 (>= 8c), liborc-0.4-0 (>= 1:0.4.18), libpng12-0 (>= 1.2.13-4), libraw1394-11, libshout3, libsoup2.4-1 (>= 2.38), libspeex1 (>= 1.2~beta3-1), libstdc++6 (>= 4.1.1), libtag1c2a (>= 1.5), libv4l-0 (>= 0.5.0), libvpx1 (>= 1.3.0), libwavpack1 (>= 4.40.0), libx11-6, libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxv1, zlib1g (>= 1:1.1.4), gstreamer1.0-plugins-base",,GStreamer plugins from the  good  set
87,pulseaudio-module-x11,1:4.0-0ubuntu12+1cdos3+1.10.0," libc6 (>= 2.4), libice6 (>= 1:1.0.0), libpulse0, libsm6, libx11-6, libxcb1, libxtst6, pulseaudio, pulseaudio-utils",,X11 module for PulseAudio sound server
